epochs,batch_size,lr,seed,precision,recall,f1-score,accuracy
2,2,1.00E-05,223,0.931907053,0.930857143,0.930816337,0.930857143
2,4,1.00E-05,223,0.932349604,0.932142857,0.932134822,0.932142857
2,8,1.00E-05,223,0.929040859,0.928571429,0.928553237,0.928571429
2,16,1.00E-05,223,0.924860969,0.924142857,0.924113321,0.924142857
2,32,1.00E-05,223,0.921064447,0.92,0.919949412,0.92
8,4,1.00E-05,223,0.934102517,0.933714286,0.933699709,0.933714286
8,8,1.00E-05,223,0.927851337,0.927714286,0.927708328,0.927714286
8,16,1.00E-05,223,0.924860969,0.924142857,0.924113321,0.924142857
8,32,1.00E-05,223,0.921204022,0.920142857,0.920090859,0.920142857
16,4,1.00E-05,223,0.93625869,0.936,0.935990624,0.936
16,8,1.00E-05,223,0.928575969,0.928428571,0.92842229,0.928428571
16,16,1.00E-05,223,0.924860969,0.924142857,0.924113321,0.924142857
16,32,1.00E-05,223,0.921204022,0.920142857,0.920090859,0.920142857
2,2,3.00E-05,223,0.93016003,0.928571429,0.928507542,0.928571429
2,4,3.00E-05,223,0.92520012,0.924285714,0.924249877,0.924285714
2,8,3.00E-05,223,0.926170328,0.925571429,0.925545609,0.925571429
2,16,3.00E-05,223,0.927062434,0.926,0.925951314,0.926
2,32,3.00E-05,223,0.916545945,0.915,0.914905885,0.915
8,2,3.00E-05,223,0.925460734,0.924142857,0.92408559,0.924142857
8,4,3.00E-05,223,0.924716149,0.923857143,0.923822878,0.923857143
8,8,3.00E-05,223,0.923261376,0.921857143,0.921791517,0.921857143
8,16,3.00E-05,223,0.927392041,0.926571429,0.926532474,0.926571429
8,32,3.00E-05,223,0.92603712,0.925714286,0.92570041,0.925714286
16,2,3.00E-05,223,0.7917957,0.84,0.806588741,0.84
16,4,3.00E-05,223,0.924170757,0.923285714,0.923250995,0.923285714
