text,label
乱套了都，就怕后代谈恋爱发现亲戚血缘关系,1
未婚人工受精犯法的吧？想准备去父留子的女生，即便不犯法，也肯定没道德,1
没有父亲，遍地私生子，未来近亲结婚的也多,1
你好！祝你工作顺利，合家幸福安康！主播：此节目非常有教育意义，能有效地提倡全社会的家庭健康教育。由其是儿童，从小养成文明礼貌，促进养成教育，提高道德文明素质。,1
乱套了,1
所以私生子这个玩意儿是可以转正的呗,1
我觉得生育登记可以不限制婚姻但是必须限制私生子分财产。三要生就让她自己养一分钱不准拿,1
私生子不应该拥有继承权,1
提倡多生多育是降低育儿成本，而不是降低人得道德,1
这是把伦理道德扔在地上踩，是对一纸婚约的亵渎。对原配不公平，建议取消婚姻制度，因为更没有结婚的必要了。,1
这真是对婚姻和道德的耻辱,1
建议先查提出这个建议的专家和子女,1
有了私生子的话不就是重婚罪了吗？,1
同意私生子合法化？是为了提高生育率吗,1
婚内的私生子不应该继承财产,1
我也想当小三了,1
男人笑了，小三笑了，原配哭了。,1
一个男人如果愿意立遗嘱，签婚内财产协议，就不会有三，有私生子了,1
私生子别说百分之二十，百分之二我也不想给！,1
我给你生个私生子吧,1
对私生子的保护是对婚姻的亵渎，侮辱,1
不懂就问，私生子是只有男方的财产的继承权，还是夫妻双方的。我不出钱抚养私生子算不算犯罪。,1
这是对原配妻子的侮辱，对中国道德底线的侮辱，对法律的侮辱。,1
不晓得提出这个建议的专家咋个想的,1
确实像网友说：人口上来了，道德底线放低了,1
不管怎么都不公平，不管给不给私生子抚养费，最好方式不接不生,1
很神奇，是哪位大佬的私生子逆袭了吗？,1
以后孩子结婚怎么知道对方岂不是私生子，以后谈婚论嫁双方父母见面，提醒记得带上结婚证户口本原件互相审查？,1
我觉得私生子如果是婚前所生，可以继承父亲的，如果是在婚后的小三所生，绝对不能继承,1
这是对原配的侮辱，对道德的侮辱,1
呼吁取消私生子有继承权,1
我就想问问，女方在外面有私生子，怎么办？,1
不结婚可以上户可以，但是必须上到女方，私生子不然对原配伤害太大了，有些人是没有道德的，不是所有人都有责任心，有些人就是图谋不轨，扰乱家庭,1
老公这么听话就不会有私生子了,1
你不说别个都还不知道私生子合法了，这下。。。。,1
也就是私生子合法继承，我们只能自己想办法避免,1
和男小三生的孩子能继承谁的遗产？,1
这条法律规定就是对小三愿意生孩子的动力，毕竟坐享其成谁不愿意呢,1
比道德的时候到了。,1
用夫妻共同财产给私生子抚养费,1
男方有私生子合法！要是女方有私生子呢？是不是要净身出户！,1
同意   私生子  小三凭什么活着,1
直接取消私生子抚养费和继承权,1
请问有私生子是不是可以作为重婚罪的重要依据，重婚罪是不是可以要求对方净身出户？,1
这个私生子应该加一个限制条件，生物学父母没有过任何婚史，相爱可以，伤害别人，大可不必,1
不仅是是对婚姻的侮辱，是直接吧道德撕碎了丢地上，还踩几脚,1
加一条，有私生子的男人判重婚罪，做满10年牢！然后只能牵连私生子，不能牵连婚生子,1
应该出台生私生子的人犯法,1
有婚生子后最可靠的方法是让男方无生育能力就不用担心私生子问题了！,1
私生子赡养老父亲吗？,1
女方如果有私生子，也享受继承权吗？,1
