ip_location,create_time,content,Topic,sentiment,Representation,Representative_Docs,theory,theme
Shandong,2023-7-17 19:17,向不需要男人的女人致敬,13,1,"['男人', '男性', '女人', '男生', '男女平等', '光棍', '女生', '女孩', '干嘛', '支持']","['男人 死', '男人 真 没', '没 男人 死']",Individualism,Gender Equality
Beijing,2023-9-26 18:18,你以为结婚了生了孩子父亲就不缺位吗？,5,0,"['爸爸', '父亲', '父爱', '长大', '没有', '缺失', '成长', '家庭', '完整', '孩子']","['没有 爸爸 孩子', '孩子 没有 爸爸 没有 父爱 完整', '没有 父爱 没有 父亲']",Individualism,Traditional Family
Guangdong,2023-2-19 18:22,有老公也自费，有老公也不一定就有支持，反而还会有一大堆糟心事，还要应付婆家一大家子,150,0,"['老公', '老婆', '自费', '生气', '小老婆', '前夫', '丈夫', '一报', '婆家', '区别']","['老公', '老公', '写 老公 生']",Deinstitutionalization of Marriage,Morality
Anhui,2022-10-23 18:54,男人再不努力，就等着去父留子吧,1,0,"['父留子', '留子', '去母', '父留', '母留子', '去夫', '哈哈哈', '经济', '支持', '想法']","['笑 死 父留子', '“ 父留子 ”', '“ 父留子 ”']",Individualism,Individualism
Zhejiang,2024-6-7 21:19,挺好的啊,146,0,"['整挺', '看上去', '画像', '相欠', '互不', '相当', '回事', '其实', '公平', '请问']","['挺 公平', '相当', '画像 挺']",Individualism,Gender Equality
Guangdong,2024-6-14 16:52,感觉你的娃好带，不哭闹粘你。可以自己玩耍，,172,0,"['宝宝', '宝贝', '小宝', '哈宝', '好棒', '哭闹', '宝儿', '安琪儿', '真棒', '抱抱']","['听 宝宝', '宝宝', '宝宝']",Individualism,Diversity
Yunnan,2023-2-3 13:12,道德沦丧…民族耻辱,92,1,"['沦丧', '道德', '道德败坏', '沦陷', '信仰', '扭曲', '崩塌', '价值', '彻底', '极点']","['道德 沦丧', '道德 沦丧', '道德 沦丧']",Deinstitutionalization of Marriage,Morality
Zhejiang,2023-3-7 22:50,未婚哪里来的孩子,139,0,"['未婚', '不婚', '未婚先孕', '不育', '结婚', '就生', '结过婚', '保平安', '没生', '先育']","['现在 很多 没有 结婚 就生 孩子', '妈妈 没 结婚 就生 网上 好多 可怕 爸爸 感觉 没 爸爸 快乐 知道', '未婚 妈妈 小孩 已经 8 岁']",Deinstitutionalization of Marriage,Marriage
Hubei,2023-2-19 17:58,反正有母爱的家庭比父母争吵的家庭更好，而且有本事离婚的女人挺厉害的，至少她们能养活自己。不过，最负责的态度就是别祸害下一代,168,0,"['离婚', '婆婆', '离异', '幸福', '家庭', '孩子', '老公', '婚姻', '觉得', '生活']","['生 带 婆婆 天天 挑拨离间 生怕 儿子 媳妇 干脆 结婚 生个 孩子 爸妈 一起 孩子 姓 婆婆 烦 父母 永远都是 宝贝 婆婆 太烦 老公 沾花惹草', '这种 离异 带 孩子 差', '离婚 孩子']",Individualism,Traditional Family
Henan,2024-6-10 7:24,好棒呀,153,0,"['太棒了', '棒棒', '特别', '好棒', '很棒', '非常', '太爱', '太棒', '真棒', '女主']","['太棒了', '太棒了', '太棒了']",Individualism,Diversity
Liaoning,2022-7-22 17:51,可是只有吉林有啊什么时候辽宁也能放开这个政策啊,81,0,"['全国', '规矩', '规定', '推广', '放开', '普及', '允许', '各地', '人定', '不成方圆']","['全国 普及 一下', '支持 全国 推广', '普及 全国']",Deinstitutionalization of Marriage,Legislation
Sichuan,2023-2-2 13:06,专家？哈哈，想必这位专家外孙女一定很多,7,1,"['专家', '查查', '建议', '进步', '这位', '教授', '私生子', '是不是', '估计', '外面']","['专家', '搞 专家', '专家 住 帮']",Deinstitutionalization of Marriage,Morality
Zhejiang,2023-2-19 17:39,不挺好的吗 不想结婚 就像想有孩子 又不是私生子 我女儿也是这样的,45,1,"['不想', '想要', '结婚', '想生', '孩子', '只想', '生个', '生小孩', '不生', '丁克']","['结婚 不想 生 孩子', '结婚 不想 生 孩子', '想 结婚 不想 生 孩子']",Deinstitutionalization of Marriage,Parenting Value
Guangdong,2024-4-5 14:06,爱这样的老板,112,0,"['漂亮', '美女', '好看', '老板', '颜值', '美好', '太漂亮', '这颜值', '很漂亮', '美丽']","['漂亮', '漂亮', '漂亮']",Individualism,Diversity
Tianjin,2024-6-11 13:28,呦呵，全是好,11,0,"['坏处', '好处', '全是', '起来', '利大于弊', '哈哈哈', '听到', '好像', '一听', '六个']","['坏处 听 想 好处', '坏处 好处', '坏处 好处']",Individualism,Diversity
Hunan,2023-2-28 22:56,那结婚证的意义在哪？,90,0,"['结婚证', '意义', '婚礼', '证明', '一张', '只能', '没用', '张纸', '干嘛', '捆住']","['想 结婚证', '结婚证', '补 结婚证']",Deinstitutionalization of Marriage,Marriage
Gansu,2023-6-29 2:37,嘿嘿，姐姐独自美丽，简直帅翻了,25,0,"['姐姐', '姐妹', '妹妹', '弟弟', '加油', '勇敢', '星星', '小姐姐', '双胞胎', '兄弟']","['棒 姐姐', '姐姐 姐姐 ʚ • ͈ ˽ • ͈ ི ྀ ɞ 想', '姐姐']",Individualism,Gender Equality
Hunan,2023-7-17 2:08,宝，可以问一下怎么劝通父母的吗,5,0,"['爸爸', '父亲', '父爱', '长大', '没有', '缺失', '成长', '家庭', '完整', '孩子']","['没有 爸爸 孩子', '孩子 没有 爸爸 没有 父爱 完整', '没有 父爱 没有 父亲']",Individualism,Traditional Family
Qinghai,2023-7-18 8:59,以后有钱人可以正大光明三妻四妾了,16,1,"['三妻四妾', '一夫多妻', '有钱人', '富人', '富豪', '一妻多夫', '穷人', '纳妾', '老婆', '变相']","['以后 三妻四妾', '三妻四妾', '三妻四妾']",Deinstitutionalization of Marriage,Morality
Anhui,2023-2-19 18:11,自己做户主,108,0,"['户口', '户主', '落户', '人口普查', '上户', '户口本', '派出所', '户籍', '登记', '不了']","['户口', '户口', '户口 难']",Deinstitutionalization of Marriage,Legislation
Hubei,2023-2-7 7:31,必须是时代的进度！,33,0,"['进步', '世风日下', '社会', '时代', '国家', '文明', '祖国', '发展', '退步', '回到']","['进步', '进步', '进步']",Deinstitutionalization of Marriage,Morality
